job_id,job_title,job_url,job_company,job_location,job_salary,job_description,job_skills
1,Laravel / React Fullstack Developer,https://wuzzuf.net/jobs/p/ANjcrMykms7n-Laravel-React-Fullstack-Developer-Remotecoders-Cairo-Egypt?o=12&l=sp&t=sj&a=search-v3,Remotecoders,"Remotecoders - Cairo, Egypt",3 to 15 years,"We are building a product development team and are looking for a Senior Fullstack (Laravel / React) Developer. You should be willing to take responsibility for a project and be in charge of both the architecture and implementation of the frontend and backend.Through Remotecoders, you will be working in Cairo, taking care of two interns and you will be working directly with our team of experts, designers, and project managers to help bring this product to life.We are one of the leading digital consultancies with a headquarter in Zurich, Switzerland. With our global team, we build digital products, create outstanding websites, and help our clients to grow. Our clients range from leading startups to global Enterprises. We now also want to build our own products and this is why we are looking for you.",laravel*react*information technology (it)*software development*software engineering*rest*vue*css*git*html5*twitter-bootstrap*scss*typescript*apis*
2,Senior Flutter Developer,https://wuzzuf.net/jobs/p/bOpj4upoaFzo-Senior-Flutter-Developer-Cairo-Egypt?o=10&l=sp&t=sj&a=search-v3,Not Specified,"Confidential Company - Maadi, Cairo",More than 3 years,"We are looking for an experienced Flutter Developer who will join our talented software team. Your duties will include managing Flutter (Android, iOS) application development while providing expertise in the full software development lifecycle, from concept and design to testing. You should have experience in building high-performing, scalable, enterprise-grade applications and be able to write clean code and ensure your programs run properly. We also expect you to be passionate about building software and perform well working in a team, along with developers, engineers, and web designers.ResponsibilitiesDesign and develop high-volume, low-latency applications for mission-critical systems and deliver high availability and performance.Create well-designed, testable, efficient code.Participate in all phases of the development life cycle.Assist in the preparation and production of releases of software components.Ensure designs are following specifications.Investigate alternatives and technologies and present them for architectural review, to support continuous improvement.He is fully responsible for the Test & QS phases and has sufficient expertise to deliver the project without errors. ",information technology (it)*software development*android design*android*computer science*git*apis*offline storage*restful*ui*android sdk*software engineering*engineering*flutter*ionic*ios*iphone*restful apis*design*mobile development*testing*unit testing*automation testing*test-driven development*international software testing qualifications board*json*development*android development*android testing*android application development*ios development*ios*
3,Network Engineer,https://wuzzuf.net/jobs/p/mopC913yZmCu-Network-Engineer-SABA-Cairo-Egypt?o=11&l=sp&t=sj&a=search-v3,SABA,"SABA - Heliopolis, Cairo",2 to 5 years,"
We are looking for a Network Engineer to design and maintain functional and secure networks. You troubleshoot and optimize our customer's networks, besides researching and developing new solutions.
In this role, you should have excellent self-studying skills, problem-solving skills and thorough knowledge of network administration and architecture. If you're also passionate about security and data protection, we'd like to meet you.
Your goal will be to focus on designing & maintaining networks that fit our customers' needs.

Responsibilities:

Design and deploy functional networks (LAN, WLAN, WAN)
Configuring and installing various network devices and services (e.g., routers, switches, firewalls, load balancers, VPN, QoS)
Researching & Developing new solutions
Monitor network performance and integrity
Resolve issues tiers of support have escalated by troubleshooting cloud and local infrastructure
Automate tasks and monitor their effectiveness
Mentor team members on technical issues
Communicate with users when needed
Maintain complete technical documentation
Suggest improvements to network performance, capacity and scalability
",network engineer*design*network administrator*ccnp*ccdp*architecture*tcp/ip*bgp*ospf*computer science*lan*wan*wlan*network devices*information technology (it)*software engineering*software development*network administration*network*networking*troubleshooting*engineering*routing*
4,IT Help Desk Admin,https://wuzzuf.net/jobs/p/Ol4FPHeZV9xN-IT-Help-Desk-Admin-Sykes-Enterprises-Cairo-Egypt?o=3&l=sp&t=sj&a=search-v3,Sykes Enterprises,"Sykes Enterprises - Maadi, Cairo",1 to 3 years,"Provides desktop and End User Support to ensure accessibility of client tools and applicationsResponsible for incident identification and resolution for level I issues. The SDA will escalate to the TL relating to desktops (PCs, Laptops) or the SDC and SSA for Level II support. The SDA will work closely with the SDC and SSA throughout all incidentsResponsible for supporting all facets of desktop administration (logins, passwords, etc.) patching (anti-virus and OS patches) at the local site.Complete Daily, Weekly, and Monthly checklists accurately and in a timely mannerResponsible for adds, moves, and changes of all users of the local centerKey participant in Change Implementation Management (CIM) and submits change control documentation in accordance with Sykes standardsResponsible for IT asset inventory and disposal in accordance with Sykes standardsAssist and act as remote hands and eyes while troubleshooting issues with remote engineersAct as the facilities back-up for Power Infrastructure (Generator, UPS, HVAC)24x7x365 availability to support end-users on an as-needed basisServe as the primary IT point of contact for the Site needs relative to site IT needs, issues, etc",dns*computer science*networks*information technology (it)*lan*wan*cisco routing*routing*active directory*help desk*microsoft office*proxy*vmware*
5,Product Designer - UI/UX (FinTech),https://wuzzuf.net/jobs/p/zlENZQBI7fDs-Product-Designer---UIUX-FinTech-Bright-Creations-Giza-Egypt?o=5&l=sp&t=sj&a=search-v3,Bright Creations,"Bright Creations - Smart Village, Giza",More than 3 years,"Our FounderDAZU Pay is a new FinTech startup founded by a Stanford graduate who just moved back from Silicon Valley to build DAZU.  Our founder has built over 150 web and mobile applications including for startups in the region (Valu, Cairo360), global tech unicorns (Google) and regional players (Du, MBC, the Saudi Government), and more.About DAZU PayDAZU is focused on building a leading edge platform supporting consumer and business payments in the Middle East & Africa. Our goal is to be the number one FinTech player in our niche in the Middle East & Africa.  Obviously, there’s more to it than that, but we’re still in stealth mode so you’ll know once we’ve launched (or if you join the team!)About The RoleWe’re looking for an exemplary Product Designer with an intuitive understanding of what makes a great user experience (UX) as well as having a keen eye for design details (UI).  You’ll be working on a FinTech platform so the more experience you have in this space, the better.You’ll be joining a small core team of cross-functional engineers working directly with our founder and be delivering exciting features for the application in a fast-paced demanding environment.Job ResponsibilitiesPlan, conduct and interpret user research and competitor analysisCreate user flows, wireframes and high-fidelity prototypesConduct usability testing to inform design decisionsTake broad, conceptual ideas and turn them into something useful and valuable for our usersDevelop and test user needs, interaction flows, prototypes and experiences that are incredibly simple and elegantPrepare and solicit feedback from cross-functional team members or clients for design ideas to internal teams and key stakeholdersWith continuous product ideation and discovery, always seek better options for users with understanding business or compliance constraintsLocationOffice is based in Smart Village, and we have certain flexibility for remote work.",adobe xd*design*ui*ux design*product design*ui design*ui/ux*prototypes*product*web design*
6,Project Manager,https://wuzzuf.net/jobs/p/ZF9eDTDp5zuv-Project-Manager-CoatConnect-Cairo-Egypt?o=4&l=sp&t=sj&a=search-v3,CoatConnect,"CoatConnect - New Cairo, Cairo",7 to 10 years,"ResponsibilitiesPlans, manages, and coordinates projects and ensures project initiatives and timelines are met. Develops project initiation process by defining project scope, determining action items, assigning ownership, creating project timetables, and tracking execution and workflow; prepares, presents and distributes project status reports.Evaluates, plans, and monitors project implementation for clinical systems; manages project and project delivery teams, ensures deadlines are met, escalates issues for appropriate, timely resolution and adheres to standardized project management methodologies.Develops interdisciplinary project teams in coordination with clinical community to ensure deployment of systems; serves as liaison to project sponsors, project teams and stakeholders; works with internal, external groups to optimize success of project deployment.Communicates with user departments and project teams on project activities; confers with project staff and vendors to provide support and resolve problems; collaborates with dev, seo, product and quality teams to define and develop metric goals. Partners with management to develop tools and metrics to evaluate performance of target initiatives; assists with planning monitoring criteria and methodology.Ensures availability of performance measurement data for review and analysis; evaluates and drives risk management process improvements, efficiencies and workflow enhancements.",english*management*negotiation skills*skills*project management*development*projects*
7,Oracle Application Support,https://wuzzuf.net/jobs/p/JJPz2ZHKtRD5-Oracle-Application-Support-Tokio-Marine-Egypt-General-Cairo-Egypt?o=14&l=sp&t=sj&a=search-v3,Tokio Marine Egypt General,"Tokio Marine Egypt General - Heliopolis, Cairo",2 to 4 years,"Job Role: To support Oracle Application and enhance programs and systems in Tokio Marine General Egypt applications, support users in trouble shooting issues, and to communicate with applications vendors to follow up issues.Receive the user documented requirements and specifications.Convert the business requirements into applications.Develop and maintain applications that meet the requirements and specifications set by the Business System Analyst or received from users.Design forms and reports meeting the user requirements.Document all developed programs following the documentation standards.Test programs and ensure that they satisfy the specifications written by the Business System Analyst.Participate in the User Acceptance Test with the Business Partners.Ensure continuous self-development to keep up to date with the latest technology in order to maintain up to date IT management at the company.Keep up to date with company's standards, policies and procedures that affect the implementation of IT responsibilities.",oracle*pl*computer science*applications*sql*oracle applications*information technology (it)*
8,SME's Sales Account Manager,https://wuzzuf.net/jobs/p/UMJv1qJRdL4k-SMEs-Sales-Account-Manager-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Giza-Egypt?o=6&l=sp&t=sj&a=search-v3,Fawry for Banking Technology and Electronic Payments S.A.E,"Fawry for Banking Technology and Electronic Payments S.A.E - 6th of October, Giza",1 to 2 years,"Establish productive relationships with SME`s Clients.Serve as the contact point of contact for assigned SME`s accounts.Build and maintain strong, long-lasting client relationships.Negotiate contracts and close agreements to maximize profits.Develop trusted relationships with SME accounts, customer stakeholders, and executive sponsors.Ensure the timely and successful delivery of our solutions & services according to customer needs and objectives.Prepare reports on account status.Assist with challenging client requests or issue escalations as needed.",sales*sales skills*sales target*business*customer service*presentation skills*
9,Frontend Developer - React/Vue (FinTech),https://wuzzuf.net/jobs/p/QFF7sBYZZgd0-Frontend-Developer---ReactVue-FinTech-Bright-Creations-Giza-Egypt?o=7&l=sp&t=sj&a=search-v3,Bright Creations,"Bright Creations - Smart Village, Giza",More than 4 years,"ProjectThe project is a new FinTech startup focused on building leading edge infrastructure supporting consumer and business payments globally.  Our goal is to be the number one FinTech infrastructure player in our niche in the Middle East & Africa.  Obviously, there’s more to it than that, but we’re still in stealth mode so you’ll know once we’ve launched (or if you join the team!)About the RoleWe’re looking for a Frontend Engineer with experience in payments or fintech and has a passion for writing working, clean and maintainable frontend code.  You’ll be joining a small core team of cross-functional engineers working directly with our founder who has designed and built over 150 web and mobile apps.  You’ll be working in a squad to deliver the core FinTech product as well as new and exciting features for the application in a fast-paced demanding environment.LocationOffice is based in Smart Village, and we have certain flexibility for remote work.Job ResponsibilitiesDesign, build, test and deliver a frontend applications using JS which will lead the digital payments space in Egypt and the Middle EastCollaborate with cross-functional teams to define, design and ship new featuresWrite clean, beautifully architected, reusable and maintainable ReactJS or VueJS code using robust software architectural patternsDevelop application UI and reusable UI components using React/Vue as well as utilize existing React/Vue components and themes to speed up efficiencyDevelop React/Vue code which integrate with back-end services using our own APIs as well as third party APIsDevelop code which loads and stores local cache of data using Redux/VueX and other caching librariesWrite unit tests for all code developed before pushing to code repository and covers all casesEnsuring consistent code and best practices shared between ReactJS/VueJS code as well as React Native code through code reviews with the mobile and backend engineersWork on bug fixing and improving application performanceIdentify and correct bottlenecks and fix bugs.Continuously discover, evaluate and implement new libraries to maximize development efficiencyMaintain and update DevOps procedure for the frontend continuously delivery and integration using Gitlab",sass*javascript*css*ui*frontend*html5*software development*vue.js*react.js*react*angular*redux*
10,Senior Backend Engineer - Java (FinTech),https://wuzzuf.net/jobs/p/Tiaz4nYviy40-Senior-Backend-Engineer---Java-FinTech-Bright-Creations-Giza-Egypt?o=9&l=sp&t=sj&a=search-v3,Bright Creations,"Bright Creations - Smart Village, Giza",More than 5 years,"ProjectThe project is a new FinTech startup focused on building leading edge infrastructure supporting consumer and business payments globally.  Our goal is to be the number one FinTech infrastructure player in our niche in the Middle East & Africa.  Obviously, there’s more to it than that, but we’re still in stealth mode so you’ll know once we’ve launched (or if you join the team!)About the RoleWe’re looking for a Senior Backend Engineer with experience in payments or fintech and has a passion for writing working, clean and maintainable Java backend code.  You’ll be joining a small core team of cross-functional engineers, and soon to be joined by UX designers and product owners.  You’ll be working in a squad to deliver the core FinTech product as well as new and exciting features for the application in a fast-paced demanding environment.LocationOffice is based in Smart Village, and we have certain flexibility for remote work.Job ResponsibilitiesDesign, build test and deliver the core backend module which leads the digital payments space in EgyptCollaborate with cross-functional teams to define, design and ship new featuresWrite clean, beautifully architected, reusable and maintainable Java Spring code using robust software architectural patterns – MVC, Repository Pattern, Service Oriented Architecture (SOA) patterns as required in componentsDevelop organized APIs and RESTful services for the main core applicationIntegrate with other third party APIs to retrieve and manage third party dataStore, retrieve and update data in the database using MySQL and Hibernate/JPAWrite unit tests for all code developed before pushing to code repository and covers all casesEnsuring consistent code, error management and logging architecture between core services and the frontend applications (iOS, Android and JavaScript)Integrate with Python scripts used for specific purposesWork on bug fixing and improving application performanceCache responses to improve performance using Redis and other caching solutionsIdentify and correct bottlenecks and fix bugs.Continuously discover, evaluate and implement new libraries to maximize development efficiency",back-end*apis*computer science*engineering*software development*java*mvc*restful*spring boot*spring*
